Greek New Testament — Seed Data Processing Tracker,,,,,,,,,
#,Book,Book#,Chapter,Verses,Verse Range,Batch #,Status,Date Done,Notes
24,Matthew,40,Chapter 6,8,25–32,Batch 24,✅ Complete,2026-02-25,Generated MatthewChapter6_v25-32.cs
25,Matthew,40,Chapter 6,2,33–34,Batch 25,✅ Complete,2026-02-25,Generated MatthewChapter6_v33-34.cs
26,Matthew,40,Chapter 7,8,1–8,Batch 26,✅ Complete,2026-02-25,Generated MatthewChapter7_v1-8.cs
27,Matthew,40,Chapter 7,8,9–16,Batch 27,✅ Complete,2026-02-25,Generated MatthewChapter7_v9-16.cs
28,Matthew,40,Chapter 7,8,17–24,Batch 28,✅ Complete,2026-02-25,Generated MatthewChapter7_v17-24.cs
29,Matthew,40,Chapter 7,5,25–29,Batch 29,✅ Complete,2026-02-25,Generated MatthewChapter7_v25-29.cs
30,Matthew,40,Chapter 8,8,1–8,Batch 30,✅ Complete,2026-02-25,Generated MatthewChapter8_v1-8.cs
31,Matthew,40,Chapter 8,8,9–16,Batch 31,✅ Complete,2026-02-25,Generated MatthewChapter8_v9-16.cs
32,Matthew,40,Chapter 8,8,17–24,Batch 32,✅ Complete,2026-02-25,Generated MatthewChapter8_v17-24.cs
33,Matthew,40,Chapter 8,8,25–32,Batch 33,✅ Complete,2026-02-25,Generated MatthewChapter8_v25-32.cs
34,Matthew,40,Chapter 8,2,33–34,Batch 34,✅ Complete,2026-02-25,Generated MatthewChapter8_v33-34.cs
35,Matthew,40,Chapter 9,8,1–8,Batch 35,✅ Complete,2026-02-25,Generated MatthewChapter9_v1-8.cs
36,Matthew,40,Chapter 9,8,9–16,Batch 36,✅ Complete,2026-02-27,Generated MatthewChapter9_v9-16.cs
37,Matthew,40,Chapter 9,8,17–24,Batch 37,✅ Complete,2026-02-25,Generated MatthewChapter9_v17-24.cs
38,Matthew,40,Chapter 9,8,25–32,Batch 38,✅ Complete,2026-02-27,Generated MatthewChapter9_v25-32.cs
39,Matthew,40,Chapter 9,6,33–38,Batch 39,✅ Complete,2026-02-25,Generated MatthewChapter9_v33-38.cs
40,Matthew,40,Chapter 10,8,1–8,Batch 40,✅ Complete,2026-02-25,Generated MatthewChapter10_v1-8.cs
41,Matthew,40,Chapter 10,8,9–16,Batch 41,✅ Complete,2026-02-27,Generated MatthewChapter10_v9-16.cs
42,Matthew,40,Chapter 10,8,17–24,Batch 42,✅ Complete,2026-02-25,Generated MatthewChapter10_v17-24.cs
43,Matthew,40,Chapter 10,8,25–32,Batch 43,✅ Complete,2026-02-25,Generated MatthewChapter10_v25-32.cs
44,Matthew,40,Chapter 10,8,33–40,Batch 44,✅ Complete,2026-02-25,Generated MatthewChapter10_v33-40.cs
45,Matthew,40,Chapter 10,2,41–42,Batch 45,✅ Complete,2026-02-25,Generated MatthewChapter10_v41-42.cs
46,Matthew,40,Chapter 11,8,1–8,Batch 46,✅ Complete,2026-02-25,Generated MatthewChapter11_v1-8.cs
47,Matthew,40,Chapter 11,8,9–16,Batch 47,✅ Complete,2026-02-25,Generated MatthewChapter11_v9-16.cs
48,Matthew,40,Chapter 11,8,17–24,Batch 48,✅ Complete,2026-02-25,Generated MatthewChapter11_v17-24.cs
49,Matthew,40,Chapter 11,6,25–30,Batch 49,✅ Complete,2026-02-25,Generated MatthewChapter11_v25-30.cs
50,Matthew,40,Chapter 12,8,1–8,Batch 50,✅ Complete,2026-02-25,Generated MatthewChapter12_v1-8.cs
51,Matthew,40,Chapter 12,8,9–16,Batch 51,✅ Complete,2026-02-27,Generated MatthewChapter12_v9-16.cs
52,Matthew,40,Chapter 12,8,17–24,Batch 52,✅ Complete,2026-02-25,Generated MatthewChapter12_v17-24.cs
53,Matthew,40,Chapter 12,8,25–32,Batch 53,✅ Complete,2026-02-25,Generated MatthewChapter12_v25-32.cs
54,Matthew,40,Chapter 12,8,33–40,Batch 54,✅ Complete,2026-02-27,Generated MatthewChapter12_v33-40.cs
55,Matthew,40,Chapter 12,8,41–48,Batch 55,✅ Complete,2026-02-25,Generated MatthewChapter12_v41-48.cs
56,Matthew,40,Chapter 12,2,49–50,Batch 56,✅ Complete,2026-02-25,Generated MatthewChapter12_v49-50.cs
57,Matthew,40,Chapter 13,8,1–8,Batch 57,✅ Complete,2026-02-25,Generated MatthewChapter13_v1-8.cs
58,Matthew,40,Chapter 13,8,9–16,Batch 58,✅ Complete,2026-02-25,Generated MatthewChapter13_v9-16.cs
59,Matthew,40,Chapter 13,8,17–24,Batch 59,✅ Complete,2026-02-25,Generated MatthewChapter13_v17-24.cs
60,Matthew,40,Chapter 13,8,25–32,Batch 60,✅ Complete,2026-02-27,Generated MatthewChapter13_v25-32.cs
61,Matthew,40,Chapter 13,8,33–40,Batch 61,✅ Complete,2026-02-25,Generated MatthewChapter13_v33-40.cs
62,Matthew,40,Chapter 13,8,41–48,Batch 62,✅ Complete,2026-02-25,Generated MatthewChapter13_v41-48.cs
63,Matthew,40,Chapter 13,8,49–56,Batch 63,✅ Complete,2026-02-25,Generated MatthewChapter13_v49-56.cs
64,Matthew,40,Chapter 13,2,57–58,Batch 64,✅ Complete,2026-02-25,Generated MatthewChapter13_v57-58.cs
65,Matthew,40,Chapter 14,8,1–8,Batch 65,✅ Complete,2026-02-25,Generated MatthewChapter14_v1-8.cs
66,Matthew,40,Chapter 14,8,9–16,Batch 66,✅ Complete,2026-02-25,Generated MatthewChapter14_v9-16.cs
67,Matthew,40,Chapter 14,8,17–24,Batch 67,⬜ Pending,,Failed - see logs
68,Matthew,40,Chapter 14,8,25–32,Batch 68,✅ Complete,2026-02-25,Generated MatthewChapter14_v25-32.cs
69,Matthew,40,Chapter 14,4,33–36,Batch 69,✅ Complete,2026-02-27,Generated MatthewChapter14_v33-36.cs
70,Matthew,40,Chapter 15,8,1–8,Batch 70,✅ Complete,2026-02-25,Generated MatthewChapter15_v1-8.cs
71,Matthew,40,Chapter 15,8,9–16,Batch 71,✅ Complete,2026-02-25,Generated MatthewChapter15_v9-16.cs
72,Matthew,40,Chapter 15,8,17–24,Batch 72,✅ Complete,2026-02-25,Generated MatthewChapter15_v17-24.cs
73,Matthew,40,Chapter 15,8,25–32,Batch 73,✅ Complete,2026-02-27,Generated MatthewChapter15_v25-32.cs
74,Matthew,40,Chapter 15,7,33–39,Batch 74,✅ Complete,2026-02-25,Generated MatthewChapter15_v33-39.cs
75,Matthew,40,Chapter 16,8,1–8,Batch 75,✅ Complete,2026-02-25,Generated MatthewChapter16_v1-8.cs
76,Matthew,40,Chapter 16,8,9–16,Batch 76,✅ Complete,2026-02-25,Generated MatthewChapter16_v9-16.cs
77,Matthew,40,Chapter 16,8,17–24,Batch 77,⬜ Pending,,Failed - see logs
78,Matthew,40,Chapter 16,4,25–28,Batch 78,✅ Complete,2026-02-27,Generated MatthewChapter16_v25-28.cs
79,Matthew,40,Chapter 17,8,1–8,Batch 79,✅ Complete,2026-02-27,Generated MatthewChapter17_v1-8.cs
80,Matthew,40,Chapter 17,8,9–16,Batch 80,✅ Complete,2026-02-27,Generated MatthewChapter17_v9-16.cs
81,Matthew,40,Chapter 17,8,17–24,Batch 81,✅ Complete,2026-02-27,Generated MatthewChapter17_v17-24.cs
82,Matthew,40,Chapter 17,3,25–27,Batch 82,✅ Complete,2026-02-27,Generated MatthewChapter17_v25-27.cs
83,Matthew,40,Chapter 18,8,1–8,Batch 83,✅ Complete,2026-02-26,Generated MatthewChapter18_v1-8.cs
84,Matthew,40,Chapter 18,8,9–16,Batch 84,✅ Complete,2026-02-27,Generated MatthewChapter18_v9-16.cs
85,Matthew,40,Chapter 18,8,17–24,Batch 85,✅ Complete,2026-02-26,Generated MatthewChapter18_v17-24.cs
86,Matthew,40,Chapter 18,8,25–32,Batch 86,✅ Complete,2026-02-27,Generated MatthewChapter18_v25-32.cs
87,Matthew,40,Chapter 18,3,33–35,Batch 87,✅ Complete,2026-02-26,Generated MatthewChapter18_v33-35.cs
88,Matthew,40,Chapter 19,8,1–8,Batch 88,✅ Complete,2026-02-26,Generated MatthewChapter19_v1-8.cs
89,Matthew,40,Chapter 19,8,9–16,Batch 89,✅ Complete,2026-02-26,Generated MatthewChapter19_v9-16.cs
90,Matthew,40,Chapter 19,8,17–24,Batch 90,✅ Complete,2026-02-26,Generated MatthewChapter19_v17-24.cs
91,Matthew,40,Chapter 19,6,25–30,Batch 91,✅ Complete,2026-02-26,Generated MatthewChapter19_v25-30.cs
92,Matthew,40,Chapter 20,8,1–8,Batch 92,✅ Complete,2026-02-26,Generated MatthewChapter20_v1-8.cs
93,Matthew,40,Chapter 20,8,9–16,Batch 93,✅ Complete,2026-02-26,Generated MatthewChapter20_v9-16.cs
94,Matthew,40,Chapter 20,8,17–24,Batch 94,✅ Complete,2026-02-26,Generated MatthewChapter20_v17-24.cs
95,Matthew,40,Chapter 20,8,25–32,Batch 95,✅ Complete,2026-02-26,Generated MatthewChapter20_v25-32.cs
96,Matthew,40,Chapter 20,2,33–34,Batch 96,✅ Complete,2026-02-26,Generated MatthewChapter20_v33-34.cs
97,Matthew,40,Chapter 21,8,1–8,Batch 97,✅ Complete,2026-02-26,Generated MatthewChapter21_v1-8.cs
98,Matthew,40,Chapter 21,8,9–16,Batch 98,✅ Complete,2026-02-26,Generated MatthewChapter21_v9-16.cs
99,Matthew,40,Chapter 21,8,17–24,Batch 99,✅ Complete,2026-02-26,Generated MatthewChapter21_v17-24.cs
100,Matthew,40,Chapter 21,8,25–32,Batch 100,✅ Complete,2026-02-26,Generated MatthewChapter21_v25-32.cs
101,Matthew,40,Chapter 21,8,33–40,Batch 101,✅ Complete,2026-02-26,Generated MatthewChapter21_v33-40.cs
102,Matthew,40,Chapter 21,6,41–46,Batch 102,✅ Complete,2026-02-26,Generated MatthewChapter21_v41-46.cs
103,Matthew,40,Chapter 22,8,1–8,Batch 103,✅ Complete,2026-02-26,Generated MatthewChapter22_v1-8.cs
104,Matthew,40,Chapter 22,8,9–16,Batch 104,✅ Complete,2026-02-26,Generated MatthewChapter22_v9-16.cs
105,Matthew,40,Chapter 22,8,17–24,Batch 105,✅ Complete,2026-02-26,Generated MatthewChapter22_v17-24.cs
106,Matthew,40,Chapter 22,8,25–32,Batch 106,✅ Complete,2026-02-26,Generated MatthewChapter22_v25-32.cs
107,Matthew,40,Chapter 22,8,33–40,Batch 107,✅ Complete,2026-02-26,Generated MatthewChapter22_v33-40.cs
108,Matthew,40,Chapter 22,6,41–46,Batch 108,✅ Complete,2026-02-26,Generated MatthewChapter22_v41-46.cs
109,Matthew,40,Chapter 23,8,1–8,Batch 109,✅ Complete,2026-02-26,Generated MatthewChapter23_v1-8.cs
110,Matthew,40,Chapter 23,8,9–16,Batch 110,✅ Complete,2026-02-26,Generated MatthewChapter23_v9-16.cs
111,Matthew,40,Chapter 23,8,17–24,Batch 111,✅ Complete,2026-02-26,Generated MatthewChapter23_v17-24.cs
112,Matthew,40,Chapter 23,8,25–32,Batch 112,✅ Complete,2026-02-26,Generated MatthewChapter23_v25-32.cs
113,Matthew,40,Chapter 23,7,33–39,Batch 113,✅ Complete,2026-02-26,Generated MatthewChapter23_v33-39.cs
114,Matthew,40,Chapter 24,8,1–8,Batch 114,✅ Complete,2026-02-27,Generated MatthewChapter24_v1-8.cs
115,Matthew,40,Chapter 24,8,9–16,Batch 115,✅ Complete,2026-02-26,Generated MatthewChapter24_v9-16.cs
116,Matthew,40,Chapter 24,8,17–24,Batch 116,✅ Complete,2026-02-26,Generated MatthewChapter24_v17-24.cs
117,Matthew,40,Chapter 24,8,25–32,Batch 117,✅ Complete,2026-02-26,Generated MatthewChapter24_v25-32.cs
118,Matthew,40,Chapter 24,8,33–40,Batch 118,✅ Complete,2026-02-26,Generated MatthewChapter24_v33-40.cs
119,Matthew,40,Chapter 24,8,41–48,Batch 119,✅ Complete,2026-02-26,Generated MatthewChapter24_v41-48.cs
120,Matthew,40,Chapter 24,3,49–51,Batch 120,✅ Complete,2026-02-26,Generated MatthewChapter24_v49-51.cs
121,Matthew,40,Chapter 25,8,1–8,Batch 121,✅ Complete,2026-02-26,Generated MatthewChapter25_v1-8.cs
122,Matthew,40,Chapter 25,8,9–16,Batch 122,✅ Complete,2026-02-26,Generated MatthewChapter25_v9-16.cs
123,Matthew,40,Chapter 25,8,17–24,Batch 123,✅ Complete,2026-02-27,Generated MatthewChapter25_v17-24.cs
124,Matthew,40,Chapter 25,8,25–32,Batch 124,✅ Complete,2026-02-26,Generated MatthewChapter25_v25-32.cs
125,Matthew,40,Chapter 25,8,33–40,Batch 125,✅ Complete,2026-02-27,Generated MatthewChapter25_v33-40.cs
126,Matthew,40,Chapter 25,6,41–46,Batch 126,✅ Complete,2026-02-26,Generated MatthewChapter25_v41-46.cs
127,Matthew,40,Chapter 26,8,1–8,Batch 127,✅ Complete,2026-02-26,Generated MatthewChapter26_v1-8.cs
128,Matthew,40,Chapter 26,8,9–16,Batch 128,✅ Complete,2026-02-26,Generated MatthewChapter26_v9-16.cs
129,Matthew,40,Chapter 26,8,17–24,Batch 129,✅ Complete,2026-02-26,Generated MatthewChapter26_v17-24.cs
130,Matthew,40,Chapter 26,8,25–32,Batch 130,✅ Complete,2026-02-26,Generated MatthewChapter26_v25-32.cs
131,Matthew,40,Chapter 26,8,33–40,Batch 131,✅ Complete,2026-02-26,Generated MatthewChapter26_v33-40.cs
132,Matthew,40,Chapter 26,8,41–48,Batch 132,✅ Complete,2026-02-26,Generated MatthewChapter26_v41-48.cs
133,Matthew,40,Chapter 26,8,49–56,Batch 133,✅ Complete,2026-02-27,Generated MatthewChapter26_v49-56.cs
134,Matthew,40,Chapter 26,8,57–64,Batch 134,✅ Complete,2026-02-26,Generated MatthewChapter26_v57-64.cs
135,Matthew,40,Chapter 26,8,65–72,Batch 135,✅ Complete,2026-02-26,Generated MatthewChapter26_v65-72.cs
136,Matthew,40,Chapter 26,3,73–75,Batch 136,✅ Complete,2026-02-26,Generated MatthewChapter26_v73-75.cs
137,Matthew,40,Chapter 27,8,1–8,Batch 137,✅ Complete,2026-02-27,Generated MatthewChapter27_v1-8.cs
138,Matthew,40,Chapter 27,8,9–16,Batch 138,✅ Complete,2026-02-26,Generated MatthewChapter27_v9-16.cs
139,Matthew,40,Chapter 27,8,17–24,Batch 139,✅ Complete,2026-02-26,Generated MatthewChapter27_v17-24.cs
140,Matthew,40,Chapter 27,8,25–32,Batch 140,✅ Complete,2026-02-26,Generated MatthewChapter27_v25-32.cs
141,Matthew,40,Chapter 27,8,33–40,Batch 141,✅ Complete,2026-02-26,Generated MatthewChapter27_v33-40.cs
142,Matthew,40,Chapter 27,8,41–48,Batch 142,✅ Complete,2026-02-26,Generated MatthewChapter27_v41-48.cs
143,Matthew,40,Chapter 27,8,49–56,Batch 143,✅ Complete,2026-02-26,Generated MatthewChapter27_v49-56.cs
144,Matthew,40,Chapter 27,8,57–64,Batch 144,✅ Complete,2026-02-26,Generated MatthewChapter27_v57-64.cs
145,Matthew,40,Chapter 27,2,65–66,Batch 145,✅ Complete,2026-02-26,Generated MatthewChapter27_v65-66.cs
146,Matthew,40,Chapter 28,8,1–8,Batch 146,✅ Complete,2026-02-26,Generated MatthewChapter28_v1-8.cs
147,Matthew,40,Chapter 28,8,9–16,Batch 147,✅ Complete,2026-02-26,Generated MatthewChapter28_v9-16.cs
148,Matthew,40,Chapter 28,4,17–20,Batch 148,✅ Complete,2026-02-26,Generated MatthewChapter28_v17-20.cs
📖  Mark  (Book #41),,,,,,,,,
149,Mark,41,Chapter 1,8,1–8,Batch 1,✅ Complete,2026-02-26,Generated MarkChapter1_v1-8.cs
150,Mark,41,Chapter 1,8,9–16,Batch 2,✅ Complete,2026-02-26,Generated MarkChapter1_v9-16.cs
151,Mark,41,Chapter 1,8,17–24,Batch 3,✅ Complete,2026-02-27,Generated MarkChapter1_v17-24.cs
152,Mark,41,Chapter 1,8,25–32,Batch 4,✅ Complete,2026-02-26,Generated MarkChapter1_v25-32.cs
153,Mark,41,Chapter 1,8,33–40,Batch 5,✅ Complete,2026-02-26,Generated MarkChapter1_v33-40.cs
154,Mark,41,Chapter 1,5,41–45,Batch 6,✅ Complete,2026-02-26,Generated MarkChapter1_v41-45.cs
155,Mark,41,Chapter 2,8,1–8,Batch 7,✅ Complete,2026-02-26,Generated MarkChapter2_v1-8.cs
156,Mark,41,Chapter 2,8,9–16,Batch 8,✅ Complete,2026-02-26,Generated MarkChapter2_v9-16.cs
157,Mark,41,Chapter 2,8,17–24,Batch 9,✅ Complete,2026-02-26,Generated MarkChapter2_v17-24.cs
158,Mark,41,Chapter 2,4,25–28,Batch 10,✅ Complete,2026-02-26,Generated MarkChapter2_v25-28.cs
159,Mark,41,Chapter 3,8,1–8,Batch 11,✅ Complete,2026-02-27,Generated MarkChapter3_v1-8.cs
160,Mark,41,Chapter 3,8,9–16,Batch 12,✅ Complete,2026-02-26,Generated MarkChapter3_v9-16.cs
161,Mark,41,Chapter 3,8,17–24,Batch 13,✅ Complete,2026-02-26,Generated MarkChapter3_v17-24.cs
162,Mark,41,Chapter 3,8,25–32,Batch 14,✅ Complete,2026-02-26,Generated MarkChapter3_v25-32.cs
163,Mark,41,Chapter 3,3,33–35,Batch 15,✅ Complete,2026-02-26,Generated MarkChapter3_v33-35.cs
164,Mark,41,Chapter 4,8,1–8,Batch 16,✅ Complete,2026-02-26,Generated MarkChapter4_v1-8.cs
165,Mark,41,Chapter 4,8,9–16,Batch 17,✅ Complete,2026-02-26,Generated MarkChapter4_v9-16.cs
166,Mark,41,Chapter 4,8,17–24,Batch 18,✅ Complete,2026-02-26,Generated MarkChapter4_v17-24.cs
167,Mark,41,Chapter 4,8,25–32,Batch 19,✅ Complete,2026-02-26,Generated MarkChapter4_v25-32.cs
168,Mark,41,Chapter 4,8,33–40,Batch 20,✅ Complete,2026-02-26,Generated MarkChapter4_v33-40.cs
169,Mark,41,Chapter 4,1,41–41,Batch 21,✅ Complete,2026-02-26,Generated MarkChapter4_v41-41.cs
170,Mark,41,Chapter 5,8,1–8,Batch 22,✅ Complete,2026-02-26,Generated MarkChapter5_v1-8.cs
171,Mark,41,Chapter 5,8,9–16,Batch 23,✅ Complete,2026-02-26,Generated MarkChapter5_v9-16.cs
172,Mark,41,Chapter 5,8,17–24,Batch 24,✅ Complete,2026-02-26,Generated MarkChapter5_v17-24.cs
173,Mark,41,Chapter 5,8,25–32,Batch 25,✅ Complete,2026-02-26,Generated MarkChapter5_v25-32.cs
174,Mark,41,Chapter 5,8,33–40,Batch 26,✅ Complete,2026-02-26,Generated MarkChapter5_v33-40.cs
175,Mark,41,Chapter 5,3,41–43,Batch 27,✅ Complete,2026-02-26,Generated MarkChapter5_v41-43.cs
176,Mark,41,Chapter 6,8,1–8,Batch 28,✅ Complete,2026-02-26,Generated MarkChapter6_v1-8.cs
177,Mark,41,Chapter 6,8,9–16,Batch 29,✅ Complete,2026-02-26,Generated MarkChapter6_v9-16.cs
178,Mark,41,Chapter 6,8,17–24,Batch 30,✅ Complete,2026-02-26,Generated MarkChapter6_v17-24.cs
179,Mark,41,Chapter 6,8,25–32,Batch 31,✅ Complete,2026-02-26,Generated MarkChapter6_v25-32.cs
180,Mark,41,Chapter 6,8,33–40,Batch 32,✅ Complete,2026-02-26,Generated MarkChapter6_v33-40.cs
181,Mark,41,Chapter 6,8,41–48,Batch 33,✅ Complete,2026-02-26,Generated MarkChapter6_v41-48.cs
182,Mark,41,Chapter 6,8,49–56,Batch 34,✅ Complete,2026-02-26,Generated MarkChapter6_v49-56.cs
183,Mark,41,Chapter 7,8,1–8,Batch 35,⬜ Pending,,Failed - see logs
184,Mark,41,Chapter 7,8,9–16,Batch 36,✅ Complete,2026-02-26,Generated MarkChapter7_v9-16.cs
185,Mark,41,Chapter 7,8,17–24,Batch 37,✅ Complete,2026-02-26,Generated MarkChapter7_v17-24.cs
186,Mark,41,Chapter 7,8,25–32,Batch 38,✅ Complete,2026-02-26,Generated MarkChapter7_v25-32.cs
187,Mark,41,Chapter 7,5,33–37,Batch 39,✅ Complete,2026-02-27,Generated MarkChapter7_v33-37.cs
188,Mark,41,Chapter 8,8,1–8,Batch 40,✅ Complete,2026-02-27,Generated MarkChapter8_v1-8.cs
189,Mark,41,Chapter 8,8,9–16,Batch 41,✅ Complete,2026-02-26,Generated MarkChapter8_v9-16.cs
190,Mark,41,Chapter 8,8,17–24,Batch 42,✅ Complete,2026-02-26,Generated MarkChapter8_v17-24.cs
191,Mark,41,Chapter 8,8,25–32,Batch 43,✅ Complete,2026-02-26,Generated MarkChapter8_v25-32.cs
192,Mark,41,Chapter 8,6,33–38,Batch 44,✅ Complete,2026-02-26,Generated MarkChapter8_v33-38.cs
193,Mark,41,Chapter 9,8,1–8,Batch 45,✅ Complete,2026-02-26,Generated MarkChapter9_v1-8.cs
194,Mark,41,Chapter 9,8,9–16,Batch 46,✅ Complete,2026-02-26,Generated MarkChapter9_v9-16.cs
195,Mark,41,Chapter 9,8,17–24,Batch 47,✅ Complete,2026-02-27,Generated MarkChapter9_v17-24.cs
196,Mark,41,Chapter 9,8,25–32,Batch 48,✅ Complete,2026-02-26,Generated MarkChapter9_v25-32.cs
197,Mark,41,Chapter 9,8,33–40,Batch 49,✅ Complete,2026-02-26,Generated MarkChapter9_v33-40.cs
198,Mark,41,Chapter 9,8,41–48,Batch 50,✅ Complete,2026-02-26,Generated MarkChapter9_v41-48.cs
199,Mark,41,Chapter 9,2,49–50,Batch 51,✅ Complete,2026-02-27,Generated MarkChapter9_v49-50.cs
200,Mark,41,Chapter 10,8,1–8,Batch 52,✅ Complete,2026-02-27,Generated MarkChapter10_v1-8.cs
201,Mark,41,Chapter 10,8,9–16,Batch 53,✅ Complete,2026-02-26,Generated MarkChapter10_v9-16.cs
202,Mark,41,Chapter 10,8,17–24,Batch 54,✅ Complete,2026-02-26,Generated MarkChapter10_v17-24.cs
203,Mark,41,Chapter 10,8,25–32,Batch 55,✅ Complete,2026-02-27,Generated MarkChapter10_v25-32.cs
204,Mark,41,Chapter 10,8,33–40,Batch 56,✅ Complete,2026-02-26,Generated MarkChapter10_v33-40.cs
205,Mark,41,Chapter 10,8,41–48,Batch 57,✅ Complete,2026-02-26,Generated MarkChapter10_v41-48.cs
206,Mark,41,Chapter 10,4,49–52,Batch 58,✅ Complete,2026-02-27,Generated MarkChapter10_v49-52.cs
207,Mark,41,Chapter 11,8,1–8,Batch 59,✅ Complete,2026-02-26,Generated MarkChapter11_v1-8.cs
208,Mark,41,Chapter 11,8,9–16,Batch 60,✅ Complete,2026-02-26,Generated MarkChapter11_v9-16.cs
209,Mark,41,Chapter 11,8,17–24,Batch 61,✅ Complete,2026-02-26,Generated MarkChapter11_v17-24.cs
210,Mark,41,Chapter 11,8,25–32,Batch 62,✅ Complete,2026-02-26,Generated MarkChapter11_v25-32.cs
211,Mark,41,Chapter 11,1,33–33,Batch 63,✅ Complete,2026-02-26,Generated MarkChapter11_v33-33.cs
212,Mark,41,Chapter 12,8,1–8,Batch 64,✅ Complete,2026-02-26,Generated MarkChapter12_v1-8.cs
213,Mark,41,Chapter 12,8,9–16,Batch 65,✅ Complete,2026-02-26,Generated MarkChapter12_v9-16.cs
214,Mark,41,Chapter 12,8,17–24,Batch 66,✅ Complete,2026-02-26,Generated MarkChapter12_v17-24.cs
215,Mark,41,Chapter 12,8,25–32,Batch 67,✅ Complete,2026-02-26,Generated MarkChapter12_v25-32.cs
216,Mark,41,Chapter 12,8,33–40,Batch 68,✅ Complete,2026-02-26,Generated MarkChapter12_v33-40.cs
217,Mark,41,Chapter 12,4,41–44,Batch 69,✅ Complete,2026-02-26,Generated MarkChapter12_v41-44.cs
218,Mark,41,Chapter 13,8,1–8,Batch 70,✅ Complete,2026-02-27,Generated MarkChapter13_v1-8.cs
219,Mark,41,Chapter 13,8,9–16,Batch 71,✅ Complete,2026-02-27,Generated MarkChapter13_v9-16.cs
220,Mark,41,Chapter 13,8,17–24,Batch 72,✅ Complete,2026-02-27,Generated MarkChapter13_v17-24.cs
221,Mark,41,Chapter 13,8,25–32,Batch 73,✅ Complete,2026-02-27,Generated MarkChapter13_v25-32.cs
222,Mark,41,Chapter 13,5,33–37,Batch 74,✅ Complete,2026-02-27,Generated MarkChapter13_v33-37.cs
223,Mark,41,Chapter 14,8,1–8,Batch 75,✅ Complete,2026-02-27,Generated MarkChapter14_v1-8.cs
224,Mark,41,Chapter 14,8,9–16,Batch 76,✅ Complete,2026-02-27,Generated MarkChapter14_v9-16.cs
225,Mark,41,Chapter 14,8,17–24,Batch 77,✅ Complete,2026-02-27,Generated MarkChapter14_v17-24.cs
226,Mark,41,Chapter 14,8,25–32,Batch 78,✅ Complete,2026-02-27,Generated MarkChapter14_v25-32.cs
